rank	name	country	gender	birthday	rating	age	title
214.	Miroshnichenko, Evgenij 	UKR	M	1978	2609	37	GM
215.	Mastrovasilis, Dimitrios 	GRE	M	1983	2608	32	GM
216.	Kovalyov, Anton 	CAN	M	1992	2608	23	GM
217.	Georgiev, Kiril 	BUL	M	1965	2607	50	GM
218.	Bologan, Viktor 	MDA	M	1971	2607	44	GM
219.	Mchedlishvili, Mikheil 	GEO	M	1979	2607	36	GM
220.	Vescovi, Giovanni 	BRA	M	1978	2606	37	GM
221.	Aleksandrov, Aleksej 	BLR	M	1973	2606	42	GM
222.	Mecking, Henrique 	BRA	M	1952	2606	63	GM
223.	Agdestein, Simen 	NOR	M	1967	2606	48	GM
224.	Zhou, Jianchao 	CHN	M	1988	2606	27	GM
225.	Jumabayev, Rinat 	KAZ	M	1989	2606	26	GM
226.	Stellwagen, Daniel 	NED	M	1987	2605	28	GM
227.	Ponkratov, Pavel 	RUS	M	1988	2604	27	GM
228.	Banusz, Tamas 	HUN	M	1989	2604	26	GM
229.	Nikolic, Predrag 	BIH	M	1960	2603	55	GM
230.	Pashikian, Arman 	ARM	M	1987	2603	28	GM
231.	Kokarev, Dmitry 	RUS	M	1982	2603	33	GM
232.	Burke, John M 	USA	M	2001	2603	14	FM
233.	Goganov, Aleksey 	RUS	M	1991	2603	24	GM
234.	Grigoriants, Sergey 	RUS	M	1983	2603	32	GM
235.	Ma, Qun 	CHN	M	1991	2602	24	GM
236.	Ye, Jiangchuan 	CHN	M	1960	2602	55	GM
237.	Stefansson, Hannes 	ISL	M	1972	2602	43	GM
238.	Illescas Cordoba, Miguel 	ESP	M	1965	2602	50	GM
239.	Istratescu, Andrei 	FRA	M	1975	2602	40	GM
240.	Ter-Sahakyan, Samvel 	ARM	M	1993	2601	22	GM
241.	Vladimirov, Yevgeniy 	KAZ	M	1957	2601	58	GM
242.	Nyback, Tomi 	FIN	M	1985	2601	30	GM
243.	Stevic, Hrvoje 	CRO	M	1980	2600	35	GM
244.	Roiz, Michael 	ISR	M	1983	2600	32	GM
245.	Grigoryan, Karen H. 	ARM	M	1995	2600	20	GM
246.	Tregubov, Pavel V. 	RUS	M	1971	2600	44	GM
